Postcode
LS1 1AZ
LS1 1BA
LS1 1BL
LS1 1DN
LS1 1HE
LS1 1HQ
LS1 1HT
LS1 1JF
LS1 1LD
LS1 1LE
LS1 1LL
LS1 1LW
LS1 1NS
LS1 1NX
LS1 1NZ
LS1 1PF
LS1 1PH
LS1 1PJ
LS1 1QA
LS1 1QS
LS1 1RF
LS1 1RT
LS1 1RX
LS1 1SB
LS1 1TJ
LS1 1UH
LS1 1UJ
LS1 1UR
LS1 1WU
LS1 1WW
LS1 1ZB
LS1 2AA
LS1 2AB
LS1 2AD
LS1 2AF
LS1 2AJ
LS1 2AL
LS1 2AX
LS1 2AY
LS1 2BA
LS1 2BH
LS1 2BL
LS1 2BQ
LS1 2DE
LS1 2DJ
LS1 2DR
LS1 2DS
LS1 2DZ
LS1 2ED
LS1 2EE
LS1 2EF
LS1 2EH
LS1 2EQ
LS1 2ES
LS1 2EU
LS1 2EX
LS1 2EY
LS1 2EZ
LS1 2FA
LS1 2FE
LS1 2FH
LS1 2FJ
LS1 2HA
LS1 2HD
LS1 2HH
LS1 2HJ
LS1 2HL
LS1 2HQ
LS1 2HT
LS1 2JG
LS1 2JJ
LS1 2JP
LS1 2JS
LS1 2JT
LS1 2JY
LS1 2JZ
LS1 2LE
LS1 2LF
LS1 2LH
LS1 2LT
LS1 2LU
LS1 2LW
LS1 2ND
LS1 2NE
LS1 2NL
LS1 2NP
LS1 2NU
LS1 2NY
LS1 2PF
LS1 2PL
LS1 2PQ
LS1 2PW
LS1 2PX
LS1 2QB
LS1 2QH
LS1 2QS
LS1 2RA
LS1 2RD
LS1 2RG
LS1 2RL
LS1 2RP
LS1 2RU
LS1 2RX
LS1 2RY
LS1 2SJ
LS1 2SL
LS1 2SP
LS1 2SX
LS1 2SZ
LS1 2TE
LS1 2TW
LS1 2TZ
LS1 2UA
LS1 2UT
LS1 2XY
LS1 3AA
LS1 3AB
LS1 3AD
LS1 3AF
LS1 3AH
LS1 3AJ
LS1 3AL
LS1 3AP
LS1 3AQ
LS1 3AR
LS1 3AU
LS1 3AX
LS1 3BB
LS1 3BE
LS1 3BG
LS1 3BR
LS1 3BY
LS1 3DA
LS1 3DB
LS1 3DL
LS1 3DQ
LS1 3DR
LS1 3DW
LS1 3DX
LS1 3EB
LS1 3ED
LS1 3ES
LS1 3EX
LS1 3EY
